Name,Predicted_Global_Sales,Actual_Global_Sales,,,,,
R-Type Final,0.18031659,0.19,,0.00968341,,,-0.000109468
The Terminator: Dawn of Fate,0.410599649,0.41,,-0.000599649,,,
Dead to Rights: Retribution,0.29035338,0.28,,-0.01035338,,,
Skylanders SWAP Force,2.150260657,2.15,,-0.000260657,,,
DiRT,1.050121538,1.05,,-0.000121538,,,
Robotics;Notes,0.020147547,0.02,,-0.000147547,,,
Combat Wings: The Great Battles of WWII,0.020333424,0.03,,0.009666576,,,
Nicola Kanshuu: Model Oshare * Audition Platina,0.080444805,0.08,,-0.000444805,,,
Lego Batman 3: Beyond Gotham,0.310204476,0.3,,-0.010204476,,,
SpongeBob SquarePants: Battle for Bikini Bottom,1.670371823,1.67,,-0.000371823,,,
WWE 2K16,1.210217267,1.21,,-0.000217267,,,
Derby Jockey: Kishou e no Michi,0.070357762,0.07,,-0.000357762,,,
Puzzle & Dragons X: God Chapter / Dragon Chapter,0.220426895,0.22,,-0.000426895,,,
Game of Thrones (Telltale),0.030148394,0.03,,-0.000148394,,,
Hyakki Yagyou Kaidan Romance,0.010453768,0.01,,-0.000453768,,,
Animorphs: Shattered Reality,0.05032289,0.06,,0.00967711,,,
The Idolmaster: Gravure For You! Vol.7,0.020452484,0.02,,-0.000452484,,,
Tomb Raider: The Last Revelation,2.480320513,2.48,,-0.000320513,,,
Tekken 6,2.759690285,2.75,,-0.009690285,,,
Peter Jackson's King Kong: The Official Game of the Movie,0.530436836,0.53,,-0.000436836,,,
The Kore Gang,0.040505655,0.04,,-0.000505655,,,
Madden NFL 2002,0.610269569,0.61,,-0.000269569,,,
Tobidase! Kagaku-kun Chikyuu Daitanken! Nazo no Chinkai Seibutsu ni Idome!,0.010385431,0.01,,-0.000385431,,,
WWE All Stars,0.410061352,0.41,,-6.1352E-05,,,
Case Closed: One Truth Prevails,0.010148823,0.01,,-0.000148823,,,
Zoo Keeper,0.170574158,0.16,,-0.010574158,,,
Bomberman Land Touch!,0.08086472,0.08,,-0.00086472,,,
Puyo Puyo 7,0.050865725,0.05,,-0.000865725,,,
Castlevania: Lords of Shadow 2,0.090271235,0.09,,-0.000271235,,,
Jikkyou Powerful Pro Yakyuu Portable,0.150347523,0.15,,-0.000347523,,,
Rogue Trooper: Quartz Zone Massacre,0.070869923,0.07,,-0.000869923,,,
Samurai Shodown II,0.250095926,0.25,,-9.59262E-05,,,
Robotech: The Macross Saga,0.210611589,0.21,,-0.000611589,,,
DropCast,0.060815372,0.06,,-0.000815372,,,
Jewel Match,0.180663757,0.17,,-0.010663757,,,
Chronicles of Mystery: Curse of the Ancient Temple,0.190044656,0.19,,-4.46564E-05,,,
Lips: Party Classics,0.18059922,0.18,,-0.00059922,,,
Destiny Links,0.010038905,0.01,,-3.89048E-05,,,
Pillow Pets,0.089944385,0.09,,5.5615E-05,,,
Omerta: City of Gangsters,1.090219967,1.1,,0.009780033,,,
